日期,天气,最低气温,最高气温,风向1,风向2,风级
23,晴转多云,16,29,西南风,东北风,6
24,多云,15,24,东风,东南风,5
25,多云,15,28,东南风,北风,4
26,晴,14,25,西北风,南风,6
27,阴转多云,11,21,南风,东南风,4
28,多云转阴,15,24,无持续风向,无持续风向,3
29,阴,14,24,东南风,北风,3
30,雨转晴,9,16,西北风,西风,4
1,晴,11,23,西风,西南风,3
2,晴转多云,17,29,西南风,西南风,4
3,阴,18,32,西南风,南风,5
4,雨转多云,13,22,东风,东风,4
5,雨,14,28,北风,西北风,4
6,多云转阴,15,26,西北风,北风,5
日期,天气,最低气温,最高气温,风向1,风向2,风级
23,晴转多云,16,29,西南风,东北风,6
24,多云,15,24,东风,东南风,5
25,多云,15,28,东南风,北风,4
26,晴,14,25,西北风,南风,6
27,阴转多云,11,21,南风,东南风,4
28,多云转阴,15,24,无持续风向,无持续风向,3
29,阴,14,24,东南风,北风,3
30,雨转晴,9,16,西北风,西风,4
1,晴,11,23,西风,西南风,3
2,晴转多云,17,29,西南风,西南风,4
3,阴,18,32,西南风,南风,5
4,雨转多云,13,22,东风,东风,4
5,雨,14,28,北风,西北风,4
6,多云转阴,15,26,西北风,北风,5
日期,天气,最低气温,最高气温,风向1,风向2,风级
23,晴转多云,16,29,西南风,东北风,6
24,多云,15,24,东风,东南风,5
25,多云,15,28,东南风,北风,4
26,晴,14,25,西北风,南风,6
27,阴转多云,11,21,南风,东南风,4
28,多云转阴,15,24,无持续风向,无持续风向,3
29,阴,14,24,东南风,北风,3
30,雨转晴,9,16,西北风,西风,4
1,晴,11,23,西风,西南风,3
2,晴转多云,17,29,西南风,西南风,4
3,阴,18,32,西南风,南风,5
4,雨转多云,13,22,东风,东风,4
5,雨,14,28,北风,西北风,4
6,多云转阴,15,26,西北风,北风,5
日期,天气,最低气温,最高气温,风向1,风向2,风级
23,晴转多云,16,29,西南风,东北风,6
24,多云,15,24,东风,东南风,5
25,多云,15,28,东南风,北风,4
26,晴,14,25,西北风,南风,6
27,阴转多云,11,21,南风,东南风,4
28,多云转阴,15,24,无持续风向,无持续风向,3
29,阴,14,24,东南风,北风,3
30,雨转晴,9,16,西北风,西风,4
1,晴,11,23,西风,西南风,3
2,晴转多云,17,29,西南风,西南风,4
3,阴,18,32,西南风,南风,5
4,雨转多云,13,22,东风,东风,4
5,雨,14,28,北风,西北风,4
6,多云转阴,15,26,西北风,北风,5
日期,天气,最低气温,最高气温,风向1,风向2,风级
23,晴转多云,16,29,西南风,东北风,6
24,多云,15,24,东风,东南风,5
25,多云,15,28,东南风,北风,4
26,晴,14,25,西北风,南风,6
27,阴转多云,11,21,南风,东南风,4
28,多云转阴,15,24,无持续风向,无持续风向,3
29,阴,14,24,东南风,北风,3
30,雨转晴,9,16,西北风,西风,4
1,晴,11,23,西风,西南风,3
2,晴转多云,17,29,西南风,西南风,4
3,阴,18,32,西南风,南风,5
4,雨转多云,13,22,东风,东风,4
5,雨,14,28,北风,西北风,4
6,多云转阴,15,26,西北风,北风,5
日期,天气,最低气温,最高气温,风向1,风向2,风级
23,晴转多云,16,29,西南风,东北风,6
24,多云,15,24,东风,东南风,5
25,多云,15,28,东南风,北风,4
26,晴,14,25,西北风,南风,6
27,阴转多云,11,21,南风,东南风,4
28,多云转阴,15,24,无持续风向,无持续风向,3
29,阴,14,24,东南风,北风,3
30,雨转晴,9,16,西北风,西风,4
1,晴,11,23,西风,西南风,3
2,晴转多云,17,29,西南风,西南风,4
3,阴,18,32,西南风,南风,5
4,雨转多云,13,22,东风,东风,4
5,雨,14,28,北风,西北风,4
6,多云转阴,15,26,西北风,北风,5
日期,天气,最低气温,最高气温,风向1,风向2,风级
23,晴转多云,16,29,西南风,东北风,6
24,多云,15,24,东风,东南风,5
25,多云,15,28,东南风,北风,4
26,晴,14,25,西北风,南风,6
27,阴转多云,11,21,南风,东南风,4
28,多云转阴,15,24,无持续风向,无持续风向,3
29,阴,14,24,东南风,北风,3
30,雨转晴,9,16,西北风,西风,4
1,晴,11,23,西风,西南风,3
2,晴转多云,17,29,西南风,西南风,4
3,阴,18,32,西南风,南风,5
4,雨转多云,13,22,东风,东风,4
5,雨,14,28,北风,西北风,4
6,多云转阴,15,26,西北风,北风,5
日期,天气,最低气温,最高气温,风向1,风向2,风级
23,晴转多云,16,29,西南风,东北风,6
24,多云,15,24,东风,东南风,5
25,多云,15,28,东南风,北风,4
26,晴,14,25,西北风,南风,6
27,阴转多云,11,21,南风,东南风,4
28,多云转阴,15,24,无持续风向,无持续风向,3
29,阴,14,24,东南风,北风,3
30,雨转晴,9,16,西北风,西风,4
1,晴,11,23,西风,西南风,3
2,晴转多云,17,29,西南风,西南风,4
3,阴,18,32,西南风,南风,5
4,雨转多云,13,22,东风,东风,4
5,雨,14,28,北风,西北风,4
6,多云转阴,15,26,西北风,北风,5
日期,天气,最低气温,最高气温,风向1,风向2,风级
23,晴转多云,16,29,西南风,东北风,6
24,多云,15,24,东风,东南风,5
25,多云,15,28,东南风,北风,4
26,晴,14,25,西北风,南风,6
27,阴转多云,11,21,南风,东南风,4
28,多云转阴,15,24,无持续风向,无持续风向,3
29,阴,14,24,东南风,北风,3
30,雨转晴,9,16,西北风,西风,4
1,晴,11,23,西风,西南风,3
2,晴转多云,17,29,西南风,西南风,4
3,阴,18,32,西南风,南风,5
4,雨转多云,13,22,东风,东风,4
5,雨,14,28,北风,西北风,4
6,多云转阴,15,26,西北风,北风,5
